product_id,name,category,price
1,Power Bank 176,Accessories,1005.23
2,WiFi Router 811,Networking,601.98
3,Smartwatch 169,Wearables,493.93
4,WiFi Router 987,Networking,924.48
5,Portable SSD 382,Storage,1424.35
6,LED Monitor 567,Computers,1160.32
7,Electric Toothbrush 142,Health & Personal Care,1364.24
8,Home Assistant 484,Smart Home,410.23
9,Gaming Console 899,Gaming,1189.25
10,Graphics Card 197,Computers,835.52
11,Tablet 834,Mobile,1318.78
12,Graphics Card 890,Computers,1322.39
13,Digital Camera 199,Cameras,890.07
14,WiFi Router 125,Networking,128.7
15,Tablet 345,Mobile,470.09
16,WiFi Router 208,Networking,488.75
17,Bluetooth Speaker 160,Audio,1238.1
18,Drone 447,Cameras,199.76
19,Digital Camera 796,Cameras,1064.32
20,Electric Toothbrush 465,Health & Personal Care,1247.78
21,Mechanical Keyboard 764,Accessories,1467.46
22,Bluetooth Speaker 212,Audio,1025.39
23,Bluetooth Speaker 256,Audio,168.92
24,Portable SSD 993,Storage,922.06
25,Fitness Tracker 271,Wearables,1084.7
26,Smart TV 679,TV & Home Entertainment,992.24
27,LED Monitor 949,Computers,874.45
28,Mechanical Keyboard 248,Accessories,409.3
29,Tablet 978,Mobile,97.28
30,Wireless Earbuds 491,Audio,282.71
31,Tablet 262,Mobile,1062.64
32,Mechanical Keyboard 724,Accessories,1320.79
33,WiFi Router 275,Networking,528.44
34,Power Bank 935,Accessories,1329.07
35,Home Assistant 209,Smart Home,1464.34
36,Smart TV 558,TV & Home Entertainment,383.02
37,Laptop 602,Computers,1398.74
38,Power Bank 660,Accessories,1196.46
39,Smartphone 641,Mobile,575.7
40,Mechanical Keyboard 584,Accessories,502.27
41,Smartwatch 796,Wearables,380.7
42,Smart TV 131,TV & Home Entertainment,615.01
43,Smartphone 348,Mobile,1049.24
44,WiFi Router 974,Networking,1141.61
45,Drone 795,Cameras,1141.35
46,Smartphone 770,Mobile,1136.54
47,Smart TV 563,TV & Home Entertainment,504.3
48,Smartwatch 240,Wearables,574.72
49,Smart TV 772,TV & Home Entertainment,1213.03
50,Home Assistant 119,Smart Home,494.75
51,VR Headset 807,Gaming,781.3
52,Portable SSD 346,Storage,619.01
53,LED Monitor 756,Computers,1229.73
54,Bluetooth Speaker 413,Audio,853.75
55,WiFi Router 519,Networking,875.82
56,LED Monitor 390,Computers,366.19
57,Smartphone 171,Mobile,1498.85
58,Smartphone 417,Mobile,1166.34
59,WiFi Router 606,Networking,518.09
60,Graphics Card 436,Computers,1211.91
61,Laptop 893,Computers,489.62
62,VR Headset 108,Gaming,847.59
63,Electric Toothbrush 253,Health & Personal Care,1211.89
64,Portable SSD 544,Storage,1233.9
65,WiFi Router 832,Networking,1231.38
